Word;Translation;Sentence;SentenceTranslation
niszczą;they destroy;NO_TR;NO_TR
przekaże;will pass;NO_TR;NO_TR
kazdy;everyone;NO_TR;NO_TR
wynalazek;invention;NO_TR;NO_TR
bombą;bomb;NO_TR;NO_TR
komplet;set;NO_TR;NO_TR
kłamałeś;you lied;NO_TR;NO_TR
całuje;I kiss;NO_TR;NO_TR
zwykli;ordinary;NO_TR;NO_TR
padnie;will fall;NO_TR;NO_TR
milady;milady;NO_TR;NO_TR
lampę;lamp;NO_TR;NO_TR
ośrodka;resort;NO_TR;NO_TR
opuszczam;I leave;NO_TR;NO_TR
mety;dregs;NO_TR;NO_TR
cipa;cunt;NO_TR;NO_TR
podłożył;planted;NO_TR;NO_TR
olive;olive;NO_TR;NO_TR
sinclair;sinclair;NO_TR;NO_TR
obydwu;both;NO_TR;NO_TR
camille;Camille;NO_TR;NO_TR
horror;horror;NO_TR;NO_TR
przepadam;I'm lost;NO_TR;NO_TR
odczuwam;I feel;NO_TR;NO_TR
płaczu;crying;NO_TR;NO_TR
docenia;appreciates;NO_TR;NO_TR
balony;balloons;NO_TR;NO_TR
barb;barb;NO_TR;NO_TR
klimat;climate;NO_TR;NO_TR
nagie;naked;NO_TR;NO_TR
wieje;it blows;NO_TR;NO_TR
michel;michel;NO_TR;NO_TR
otoczenia;environment;NO_TR;NO_TR
manipulować;manipulate;NO_TR;NO_TR
porozmawia;will talk;NO_TR;NO_TR
wprowadza;introduces;NO_TR;NO_TR
ciuchów;clothes;NO_TR;NO_TR
terrorystą;terrorist;NO_TR;NO_TR
hormony;hormones;NO_TR;NO_TR
dziękuj;thank you;NO_TR;NO_TR
śmierdzisz;you stink;NO_TR;NO_TR
bankowe;banking;NO_TR;NO_TR
napisze;will write;NO_TR;NO_TR
spuścić;drain;NO_TR;NO_TR
ciche;quiet;NO_TR;NO_TR
całkowite;total;NO_TR;NO_TR
podziała;it will work;NO_TR;NO_TR
rodzą;they give birth;NO_TR;NO_TR
przegramy;we will lose;NO_TR;NO_TR
uszach;ears;NO_TR;NO_TR
uwierzcie;believe;NO_TR;NO_TR
klan;clan;NO_TR;NO_TR
zdążysz;you'll make it;NO_TR;NO_TR
wspominałem;I mentioned;NO_TR;NO_TR
otis;otis;NO_TR;NO_TR
pomocna;Helpful;NO_TR;NO_TR
boys;boys;NO_TR;NO_TR
postępowanie;procedure;NO_TR;NO_TR
cukierek;candy;NO_TR;NO_TR
różnimy;we differ;NO_TR;NO_TR
metrze;subway;NO_TR;NO_TR
odwracaj;turn around;NO_TR;NO_TR
wariatką;madwoman;NO_TR;NO_TR
wizytówka;business card;NO_TR;NO_TR
zadziałał;it worked;NO_TR;NO_TR
dlugo;long;NO_TR;NO_TR
zimę;winter;NO_TR;NO_TR
trumnie;coffin;NO_TR;NO_TR
spędziłeś;you spent;NO_TR;NO_TR
gapi;stares;NO_TR;NO_TR
odciął;cut off;NO_TR;NO_TR
jechała;she was driving;NO_TR;NO_TR
nadążam;I keep up;NO_TR;NO_TR
maddy;maddy;NO_TR;NO_TR
zgubiła;she lost;NO_TR;NO_TR
głowach;heads;NO_TR;NO_TR
wątrobę;liver;NO_TR;NO_TR
wystrzelić;shoot;NO_TR;NO_TR
pokojówka;maid;NO_TR;NO_TR
hiv;hiv;NO_TR;NO_TR
politycy;politicians;NO_TR;NO_TR
kciuk;thumb;NO_TR;NO_TR
ambasadora;ambassador;NO_TR;NO_TR
przeciwnikiem;opponent;NO_TR;NO_TR
zapałki;matches;NO_TR;NO_TR
słuchacie;you are listening;NO_TR;NO_TR
hrabstwie;county;NO_TR;NO_TR
trójkąt;triangle;NO_TR;NO_TR
komentarz;comment;NO_TR;NO_TR
czarów;spells;NO_TR;NO_TR
ogromnym;huge;NO_TR;NO_TR
uważała;she thought;NO_TR;NO_TR
rozpoznaje;recognizes;NO_TR;NO_TR
priorytet;priority;NO_TR;NO_TR
przyniosłaś;you brought;NO_TR;NO_TR
zapłaciła;she paid;NO_TR;NO_TR
zabieracie;you take;NO_TR;NO_TR
manier;manners;NO_TR;NO_TR
zablokowane;blocked;NO_TR;NO_TR
opowiadanie;story;NO_TR;NO_TR
zobaczyliśmy;we saw;NO_TR;NO_TR
powtarzaj;repeat;NO_TR;NO_TR
locke;locke;NO_TR;NO_TR
docenić;appreciate;NO_TR;NO_TR
kuzynie;cousin;NO_TR;NO_TR
piraci;pirates;NO_TR;NO_TR
namiotu;tent;NO_TR;NO_TR
zeznawał;testified;NO_TR;NO_TR
piękność;beauty;NO_TR;NO_TR
wpisać;enter;NO_TR;NO_TR
całemu;all;NO_TR;NO_TR
powaga;seriousness;NO_TR;NO_TR
zajrzyj;look;NO_TR;NO_TR
poświęcenia;sacrifice;NO_TR;NO_TR
connecticut;connecticut;NO_TR;NO_TR
beczki;barrels;NO_TR;NO_TR
przystojniaku;handsome;NO_TR;NO_TR
sięgnąć;reach;NO_TR;NO_TR
forsą;bankroll;NO_TR;NO_TR
mości;majesty;NO_TR;NO_TR
jedli;they ate;NO_TR;NO_TR
biedak;poor man;NO_TR;NO_TR
łazienkę;bathroom;NO_TR;NO_TR
założenie;assumption;NO_TR;NO_TR
kelnerką;waitress;NO_TR;NO_TR
rzygać;puke;NO_TR;NO_TR
przysięga;oath;NO_TR;NO_TR
widoczne;visible;NO_TR;NO_TR
zasugerować;suggest;NO_TR;NO_TR
napalony;horny;NO_TR;NO_TR
synchronizacja;synchronization;NO_TR;NO_TR
poszczęściło;lucky;NO_TR;NO_TR
hamulce;brakes;NO_TR;NO_TR
dunham;Dunham;NO_TR;NO_TR
świetni;brilliant;NO_TR;NO_TR
apartamencie;apartment;NO_TR;NO_TR
zdrowo;healthy;NO_TR;NO_TR
madeline;madeline;NO_TR;NO_TR
uczyła;she taught;NO_TR;NO_TR
anonimowy;anonymous;NO_TR;NO_TR
zbudowali;they built;NO_TR;NO_TR
ważniejsza;more important;NO_TR;NO_TR
tańczą;they dance;NO_TR;NO_TR
oskarżona;accused;NO_TR;NO_TR
sans;sans;NO_TR;NO_TR
prawe;right;NO_TR;NO_TR
stworzeni;created;NO_TR;NO_TR
uboczne;side;NO_TR;NO_TR
skutku;effect;NO_TR;NO_TR
poniosło;carried away;NO_TR;NO_TR
girls;girls;NO_TR;NO_TR
iego;him;NO_TR;NO_TR
priya;priya;NO_TR;NO_TR
usiądzie;will sit down;NO_TR;NO_TR
cudu;a miracle;NO_TR;NO_TR
ogromnie;extremely;NO_TR;NO_TR
najście;intrusion;NO_TR;NO_TR
dziewica;virgin;NO_TR;NO_TR
pozbędziemy;we will get rid of;NO_TR;NO_TR
zawału;heart attack;NO_TR;NO_TR
odlot;departure;NO_TR;NO_TR
rzadki;rare;NO_TR;NO_TR
grozić;threaten;NO_TR;NO_TR
jerome;jerome;NO_TR;NO_TR
notes;notebook;NO_TR;NO_TR
przepustki;passes;NO_TR;NO_TR
wojennych;of war;NO_TR;NO_TR
pokonasz;you will overcome;NO_TR;NO_TR
gorączki;fever;NO_TR;NO_TR
kochacie;He loves you;NO_TR;NO_TR
wykończony;finished;NO_TR;NO_TR
gazem;gas;NO_TR;NO_TR
słoń;elephant;NO_TR;NO_TR
czapka;Hat;NO_TR;NO_TR
pragnąłem;I wanted;NO_TR;NO_TR
schowku;storage;NO_TR;NO_TR
ryzykujesz;you risk;NO_TR;NO_TR
biblioteka;library;NO_TR;NO_TR
pasowało;it fit;NO_TR;NO_TR
mundurze;uniform;NO_TR;NO_TR
odezwie;will reply;NO_TR;NO_TR
nieszczęścia;misfortune;NO_TR;NO_TR
gideon;gideon;NO_TR;NO_TR
zagwarantować;guarantee;NO_TR;NO_TR
odnalazłem;I found;NO_TR;NO_TR
makijażu;makeup;NO_TR;NO_TR
przestraszył;scared;NO_TR;NO_TR
fazę;phase;NO_TR;NO_TR
przyjmujemy;we accept;NO_TR;NO_TR
run;run;NO_TR;NO_TR
boiska;pitches;NO_TR;NO_TR
przekonałem;I convinced;NO_TR;NO_TR
bagażnik;trunk;NO_TR;NO_TR
obawiałem;I was afraid;NO_TR;NO_TR
hodgins;hodgins;NO_TR;NO_TR
wrzód;ulcer;NO_TR;NO_TR
wybuchowych;explosives;NO_TR;NO_TR
zioło;herb;NO_TR;NO_TR
lisbon;lisbon;NO_TR;NO_TR
zagrożony;endangered;NO_TR;NO_TR
zgodziłeś;you agreed;NO_TR;NO_TR
czwartego;fourth;NO_TR;NO_TR
średnią;mean;NO_TR;NO_TR
rzec;say;NO_TR;NO_TR
pożyczki;loans;NO_TR;NO_TR
dillon;dillon;NO_TR;NO_TR
opery;opera;NO_TR;NO_TR
otrzymuje;receives;NO_TR;NO_TR
okey;okay;NO_TR;NO_TR
aleś;ale;NO_TR;NO_TR
bawicie;you are having fun;NO_TR;NO_TR
zmuszać;force;NO_TR;NO_TR
kandydata;candidate;NO_TR;NO_TR
symbole;symbols;NO_TR;NO_TR
odrzucił;rejected;NO_TR;NO_TR
fabrykę;factory;NO_TR;NO_TR
cuchnie;it smells;NO_TR;NO_TR
niebieską;blue;NO_TR;NO_TR
aktywny;active;NO_TR;NO_TR
wyższa;higher;NO_TR;NO_TR
rozwinąć;expand;NO_TR;NO_TR
orbitę;orbit;NO_TR;NO_TR
zdążę;I'll make it;NO_TR;NO_TR
kucharzem;cook;NO_TR;NO_TR
spotkaj;meet;NO_TR;NO_TR
lil;lil;NO_TR;NO_TR
genetycznie;genetically;NO_TR;NO_TR
czyś;someone;NO_TR;NO_TR
pokazuj;show;NO_TR;NO_TR
oszukujesz;you cheat;NO_TR;NO_TR
seksualnego;sexual;NO_TR;NO_TR
broadway;broadway;NO_TR;NO_TR
zakochała;she fell in love;NO_TR;NO_TR
zaopiekuj;take care;NO_TR;NO_TR
poczeka;wait;NO_TR;NO_TR
wiadro;bucket;NO_TR;NO_TR
przysiąc;swear;NO_TR;NO_TR
satelita;satellite;NO_TR;NO_TR
jednostce;unit;NO_TR;NO_TR
cox;cox;NO_TR;NO_TR
robotników;workers;NO_TR;NO_TR
czyjej;whose;NO_TR;NO_TR
przysługa;favor;NO_TR;NO_TR
strzała;arrow;NO_TR;NO_TR
chciwość;greed;NO_TR;NO_TR
historyjki;stories;NO_TR;NO_TR
spal;sleep;NO_TR;NO_TR
nastolatka;teenager;NO_TR;NO_TR
ugotować;cook;NO_TR;NO_TR
odzywa;calls;NO_TR;NO_TR
partnerka;partner;NO_TR;NO_TR
chodzmy;let's go;NO_TR;NO_TR
wychodziłem;I was leaving;NO_TR;NO_TR
decyzją;decision;NO_TR;NO_TR
obraca;rotates;NO_TR;NO_TR
wyrwę;a breach;NO_TR;NO_TR
spisku;conspiracy;NO_TR;NO_TR
zapomnieliśmy;we forgot;NO_TR;NO_TR
skrzydeł;wings;NO_TR;NO_TR
widziana;seen;NO_TR;NO_TR
podania;applications;NO_TR;NO_TR
zaległości;arrears;NO_TR;NO_TR
samotną;lonely;NO_TR;NO_TR
vega;vega;NO_TR;NO_TR
jezeli;if;NO_TR;NO_TR
skończycie;you're done;NO_TR;NO_TR
urządzeń;devices;NO_TR;NO_TR
przeżycia;experiences;NO_TR;NO_TR
liczymy;we count;NO_TR;NO_TR
dziennikarzy;journalists;NO_TR;NO_TR
dolar;dollar;NO_TR;NO_TR
dekady;decades;NO_TR;NO_TR
krople;drops;NO_TR;NO_TR
przepadło;gone;NO_TR;NO_TR
skorzystam;I will use;NO_TR;NO_TR
poczytać;read;NO_TR;NO_TR
rybą;fish;NO_TR;NO_TR
wyjaśnień;explanations;NO_TR;NO_TR
rozumiałem;I understood;NO_TR;NO_TR
czaisz;you do;NO_TR;NO_TR
amerykańską;American;NO_TR;NO_TR
spieszę;I'm in a hurry;NO_TR;NO_TR
caitlin;caitlin;NO_TR;NO_TR
biżuterii;jewelry;NO_TR;NO_TR
zraniony;wounded;NO_TR;NO_TR
kompanii;company;NO_TR;NO_TR
mieszkaliśmy;we lived;NO_TR;NO_TR
córeczkę;daughter;NO_TR;NO_TR
dżentelmenem;gentleman;NO_TR;NO_TR
odebrałeś;you picked up;NO_TR;NO_TR
zmykaj;run away;NO_TR;NO_TR
zastrzeliłeś;you shot;NO_TR;NO_TR
oczekujemy;we wait;NO_TR;NO_TR
występować;occur;NO_TR;NO_TR
shore;shore;NO_TR;NO_TR
skontaktuję;I will contact;NO_TR;NO_TR
uczyłam;I taught;NO_TR;NO_TR
twardo;hard;NO_TR;NO_TR
przypomniał;reminded;NO_TR;NO_TR
nadgarstek;wrist;NO_TR;NO_TR
widzów;viewers;NO_TR;NO_TR
przełożonym;superior;NO_TR;NO_TR
stacje;stations;NO_TR;NO_TR
kapitanowi;the captain;NO_TR;NO_TR
going;going;NO_TR;NO_TR
paranoję;paranoia;NO_TR;NO_TR
kosmitów;aliens;NO_TR;NO_TR
służb;services;NO_TR;NO_TR
sosu;sauce;NO_TR;NO_TR
złotych;zlotys;NO_TR;NO_TR
god;hours;NO_TR;NO_TR
chłodno;chilly;NO_TR;NO_TR
karze;punishes;NO_TR;NO_TR
taksówką;taxi;NO_TR;NO_TR
grzechów;sins;NO_TR;NO_TR
otwór;hole;NO_TR;NO_TR
jasmine;jasmine;NO_TR;NO_TR
stacey;stacey;NO_TR;NO_TR
banków;banks;NO_TR;NO_TR
przeżywa;survives;NO_TR;NO_TR
pacjentką;a patient;NO_TR;NO_TR
wydania;issue;NO_TR;NO_TR
przypuszczałem;I assumed;NO_TR;NO_TR
poranne;morning;NO_TR;NO_TR
uczynię;I will;NO_TR;NO_TR
dwunastu;twelve;NO_TR;NO_TR
rodzić;parent;NO_TR;NO_TR
odnaleziono;found;NO_TR;NO_TR
modlitwa;prayer;NO_TR;NO_TR
adresy;addresses;NO_TR;NO_TR
zachowałem;I kept;NO_TR;NO_TR
kable;wires;NO_TR;NO_TR
szkolne;school;NO_TR;NO_TR
okłamałem;I lied;NO_TR;NO_TR
owce;sheep;NO_TR;NO_TR
aidan;aidan;NO_TR;NO_TR
pożądanie;desire;NO_TR;NO_TR
dupska;ass;NO_TR;NO_TR
otacza;surrounds;NO_TR;NO_TR
nieprzytomna;unconscious;NO_TR;NO_TR
comic;cartoon;NO_TR;NO_TR
sprowadziłeś;you brought;NO_TR;NO_TR
podniecające;exciting;NO_TR;NO_TR
głosowania;voting;NO_TR;NO_TR
wezwie;will call;NO_TR;NO_TR
trawkę;grass;NO_TR;NO_TR
przysięgi;oaths;NO_TR;NO_TR
niebem;heaven;NO_TR;NO_TR
czarownice;witches;NO_TR;NO_TR
uciekłaś;you ran away;NO_TR;NO_TR
rozumiał;understood;NO_TR;NO_TR
zwyczaju;habit;NO_TR;NO_TR
skrzynce;inbox;NO_TR;NO_TR
zostac;stay;NO_TR;NO_TR
wątpić;doubt;NO_TR;NO_TR
pobłogosław;bless;NO_TR;NO_TR
zaginiony;lost;NO_TR;NO_TR
oryginał;original;NO_TR;NO_TR
gotujesz;you cook;NO_TR;NO_TR
claudia;claudia;NO_TR;NO_TR
kampania;campaign;NO_TR;NO_TR
zastrzeliłem;I shot;NO_TR;NO_TR
przekleństwo;Curse;NO_TR;NO_TR
goku;goku;NO_TR;NO_TR
właścicieli;owners;NO_TR;NO_TR
krzyża;cross;NO_TR;NO_TR
zoey;zoey;NO_TR;NO_TR
padła;fell;NO_TR;NO_TR
jakiemuś;some;NO_TR;NO_TR
reilly;reilly;NO_TR;NO_TR
taniej;cheaper;NO_TR;NO_TR
zechcą;they will;NO_TR;NO_TR
wredna;mean;NO_TR;NO_TR
wpadło;fell in;NO_TR;NO_TR
aktorzy;actors;NO_TR;NO_TR
wspólnoty;community;NO_TR;NO_TR
lincolna;lincoln;NO_TR;NO_TR
fajki;pipes;NO_TR;NO_TR
zrobiłaby;she would;NO_TR;NO_TR
brud;dirt;NO_TR;NO_TR
flagi;flags;NO_TR;NO_TR
przynęty;bait;NO_TR;NO_TR
decydujesz;you decide;NO_TR;NO_TR
liścik;note;NO_TR;NO_TR
potwierdzone;confirmed;NO_TR;NO_TR
damien;damien;NO_TR;NO_TR
niedziele;Sundays;NO_TR;NO_TR
spodziewaliśmy;we expected;NO_TR;NO_TR
pooglądać;watch;NO_TR;NO_TR
najgorszych;the worst;NO_TR;NO_TR
bronisz;you defend;NO_TR;NO_TR
przemowę;speech;NO_TR;NO_TR
united;united;NO_TR;NO_TR
wierzyła;she believed;NO_TR;NO_TR
grozisz;you threaten;NO_TR;NO_TR
springs;springs;NO_TR;NO_TR
porwano;kidnapped;NO_TR;NO_TR
kwatera;lodging;NO_TR;NO_TR
złom;scrap;NO_TR;NO_TR
kartotekę;file;NO_TR;NO_TR
opisał;described;NO_TR;NO_TR
położeniu;location;NO_TR;NO_TR
wzruszające;moving;NO_TR;NO_TR
kierują;they direct;NO_TR;NO_TR
działam;I act;NO_TR;NO_TR
tanya;tanya;NO_TR;NO_TR
pol;half;NO_TR;NO_TR
pokazie;show;NO_TR;NO_TR
odnajdzie;will find;NO_TR;NO_TR
julius;julius;NO_TR;NO_TR
sprawdzałam;I checked;NO_TR;NO_TR
wiedźmą;witch;NO_TR;NO_TR
zatańczysz;you will dance;NO_TR;NO_TR
pomówmy;let's talk;NO_TR;NO_TR
sądził;he thought;NO_TR;NO_TR
wymazać;erase;NO_TR;NO_TR
odpowiedziałem;I replied;NO_TR;NO_TR
tornado;tornado;NO_TR;NO_TR
zaskakujące;surprising;NO_TR;NO_TR
lutego;February;NO_TR;NO_TR
trafię;I will hit;NO_TR;NO_TR
wielkoludzie;giants;NO_TR;NO_TR
balon;balloon;NO_TR;NO_TR
walcząc;fighting;NO_TR;NO_TR
henderson;henderson;NO_TR;NO_TR
szajs;crap;NO_TR;NO_TR
strzelcem;shooter;NO_TR;NO_TR
merlinie;merlin;NO_TR;NO_TR
ucieknę;I will run away;NO_TR;NO_TR
louisa;louis;NO_TR;NO_TR
przygnębiony;depressed;NO_TR;NO_TR
statystyki;statistics;NO_TR;NO_TR
dowidzenia;Goodbye;NO_TR;NO_TR
benzyna;gas;NO_TR;NO_TR
katastrofie;disaster;NO_TR;NO_TR
oszczędzać;to save;NO_TR;NO_TR
wyrzucony;ejected;NO_TR;NO_TR
strzeż;guard;NO_TR;NO_TR
zawróć;turn back;NO_TR;NO_TR
policzyć;count;NO_TR;NO_TR
ruchem;movement;NO_TR;NO_TR
spluwy;guns;NO_TR;NO_TR
podziewałeś;you were missing;NO_TR;NO_TR
padało;it was raining;NO_TR;NO_TR
siku;Pee;NO_TR;NO_TR
zaatakowała;she attacked;NO_TR;NO_TR
śpieszyć;hurry;NO_TR;NO_TR
sportowe;sports;NO_TR;NO_TR
inwazji;invasion;NO_TR;NO_TR
tajną;secret;NO_TR;NO_TR
duchami;ghosts;NO_TR;NO_TR
korek;jam;NO_TR;NO_TR
brytyjski;British;NO_TR;NO_TR
śledziłem;I followed;NO_TR;NO_TR
definitywnie;definitely;NO_TR;NO_TR
chodziłeś;you walked;NO_TR;NO_TR
adele;adele;NO_TR;NO_TR
maleńki;tiny;NO_TR;NO_TR
sanktuarium;sanctuary;NO_TR;NO_TR
dymem;smoke;NO_TR;NO_TR
padło;fell;NO_TR;NO_TR
wróżki;fairies;NO_TR;NO_TR
sweet;sweet;NO_TR;NO_TR
phyllis;phyllis;NO_TR;NO_TR
briggs;briggs;NO_TR;NO_TR
laptop;laptop;NO_TR;NO_TR
malone;malone;NO_TR;NO_TR
zajęli;they took;NO_TR;NO_TR
numerze;number;NO_TR;NO_TR
dzwon;bell;NO_TR;NO_TR
popiół;ash;NO_TR;NO_TR
przesadzaj;exaggerate;NO_TR;NO_TR
grawitacji;gravity;NO_TR;NO_TR
nico;nothing;NO_TR;NO_TR
posiadać;to have;NO_TR;NO_TR
zakładasz;you assume;NO_TR;NO_TR
wykonałem;I did;NO_TR;NO_TR
troski;worries;NO_TR;NO_TR
przewodnikiem;guide;NO_TR;NO_TR
krępujące;embarrassing;NO_TR;NO_TR
gracze;players;NO_TR;NO_TR
drani;bastards;NO_TR;NO_TR
pójdźmy;let's go;NO_TR;NO_TR
fazie;phase;NO_TR;NO_TR
etat;job;NO_TR;NO_TR
rekiny;sharks;NO_TR;NO_TR
zerknąć;take a peek;NO_TR;NO_TR
dzieciakom;kids;NO_TR;NO_TR
piechoty;infantry;NO_TR;NO_TR
zastanowię;I will consider;NO_TR;NO_TR
ostrożność;care;NO_TR;NO_TR
zastrzelili;shot;NO_TR;NO_TR
placówki;facility;NO_TR;NO_TR
popatrzmy;let's see;NO_TR;NO_TR
kombinezon;dungarees;NO_TR;NO_TR
gabrielle;Gabrielle;NO_TR;NO_TR
detektywów;detectives;NO_TR;NO_TR
zbudowałem;I built;NO_TR;NO_TR
scenariusza;scenario;NO_TR;NO_TR
dotkniesz;you touch;NO_TR;NO_TR
ike;ike;NO_TR;NO_TR
surowe;raw;NO_TR;NO_TR
clayton;clayton;NO_TR;NO_TR
przecznice;blocks;NO_TR;NO_TR
akwarium;aquarium;NO_TR;NO_TR
spodem;underneath;NO_TR;NO_TR
kolacją;Dinner;NO_TR;NO_TR
niestosowne;inappropriate;NO_TR;NO_TR
miejscowy;local;NO_TR;NO_TR
alvin;alvin;NO_TR;NO_TR
zamordować;murder;NO_TR;NO_TR
rozegrać;play;NO_TR;NO_TR
miliard;billion;NO_TR;NO_TR
budki;booths;NO_TR;NO_TR
spóźniłaś;you are late;NO_TR;NO_TR
przywódców;leaders;NO_TR;NO_TR
utah;utah;NO_TR;NO_TR
argument;argument;NO_TR;NO_TR
fantazja;imagination;NO_TR;NO_TR
właściciele;owners;NO_TR;NO_TR
nadzwyczajne;extraordinary;NO_TR;NO_TR
zabraliśmy;we took;NO_TR;NO_TR
chór;choir;NO_TR;NO_TR
kaplicy;chapel;NO_TR;NO_TR
aparatu;camera;NO_TR;NO_TR
edwarda;edward;NO_TR;NO_TR
wprowadzenie;introduction;NO_TR;NO_TR
valentine;valentine;NO_TR;NO_TR
nory;burrows;NO_TR;NO_TR
bierzecie;you take;NO_TR;NO_TR
pojechałeś;you went;NO_TR;NO_TR
dalszych;further;NO_TR;NO_TR
złóż;fold;NO_TR;NO_TR
umieją;they can;NO_TR;NO_TR
dawka;dose;NO_TR;NO_TR
mieszkałam;I lived;NO_TR;NO_TR
stawki;rates;NO_TR;NO_TR
zaproś;invite;NO_TR;NO_TR
wydostanę;I will get out;NO_TR;NO_TR
gniazda;sockets;NO_TR;NO_TR
stajemy;we stop;NO_TR;NO_TR
clive;clive;NO_TR;NO_TR
dreszcze;chills;NO_TR;NO_TR
lekarstw;medicines;NO_TR;NO_TR
przeleciał;flew by;NO_TR;NO_TR
skacze;jumps;NO_TR;NO_TR
luthor;luthor;NO_TR;NO_TR
pokazujesz;you show;NO_TR;NO_TR
żenić;marry;NO_TR;NO_TR
misia;teddy bear;NO_TR;NO_TR
mówiły;they said;NO_TR;NO_TR
janeway;janeway;NO_TR;NO_TR
słabi;weak;NO_TR;NO_TR
głosie;voice;NO_TR;NO_TR
sałatka;salad;NO_TR;NO_TR
farma;farm;NO_TR;NO_TR
wyposażenie;equipment;NO_TR;NO_TR
zniknięcie;disappearance;NO_TR;NO_TR
fajną;cool;NO_TR;NO_TR
zakręt;turn;NO_TR;NO_TR
przyprowadźcie;bring it;NO_TR;NO_TR
zbliżania;approximation;NO_TR;NO_TR
szczerym;sincere;NO_TR;NO_TR
jadąc;eat;NO_TR;NO_TR
prototyp;prototype;NO_TR;NO_TR
yyy;uh;NO_TR;NO_TR
poczekajmy;let's wait;NO_TR;NO_TR
maddie;maddy;NO_TR;NO_TR
dziwek;whores;NO_TR;NO_TR
zatrucie;poisoning;NO_TR;NO_TR
orlando;orlando;NO_TR;NO_TR
wozy;carts;NO_TR;NO_TR
złożone;complex;NO_TR;NO_TR
przypuszczać;suppose;NO_TR;NO_TR
uwolni;free;NO_TR;NO_TR
uwolnił;freed;NO_TR;NO_TR
chóru;choir;NO_TR;NO_TR
okręcie;ship;NO_TR;NO_TR
widziało;saw;NO_TR;NO_TR
rod;rhodium;NO_TR;NO_TR
wybić;knock out;NO_TR;NO_TR
wizyt;visits;NO_TR;NO_TR
szalonym;crazy;NO_TR;NO_TR
wyglądali;they looked;NO_TR;NO_TR
srebra;silver;NO_TR;NO_TR
blizna;scar;NO_TR;NO_TR
dopadnę;I'll get it;NO_TR;NO_TR
spieprzyłem;I screwed up;NO_TR;NO_TR
odeszły;gone;NO_TR;NO_TR
dotknąłem;I touched;NO_TR;NO_TR
zniszczyłem;I destroyed;NO_TR;NO_TR
przedstaw;introduce;NO_TR;NO_TR
kradną;they steal;NO_TR;NO_TR
chipsy;chips;NO_TR;NO_TR
historyjka;story;NO_TR;NO_TR
piątym;fifth;NO_TR;NO_TR
abraham;abraham;NO_TR;NO_TR
zamierzałam;I intended;NO_TR;NO_TR
prośby;requests;NO_TR;NO_TR
walnąć;hit;NO_TR;NO_TR
myśleliście;you thought;NO_TR;NO_TR
ciao;hello;NO_TR;NO_TR
wydaj;spend;NO_TR;NO_TR
stratą;loss;NO_TR;NO_TR
wpuścił;let in;NO_TR;NO_TR
wierność;faithfulness;NO_TR;NO_TR
egzekucję;execution;NO_TR;NO_TR
odczyt;reading;NO_TR;NO_TR
diecie;diet;NO_TR;NO_TR
srebrny;silver;NO_TR;NO_TR
ugody;settlement;NO_TR;NO_TR
sprawdzisz;you will check;NO_TR;NO_TR
pająk;spider;NO_TR;NO_TR
pojedynkę;alone;NO_TR;NO_TR
wcześniejsze;earlier;NO_TR;NO_TR
prysznica;shower;NO_TR;NO_TR
zamkniemy;we will close;NO_TR;NO_TR
przybyć;arrive;NO_TR;NO_TR
mądralo;wise guy;NO_TR;NO_TR
zobowiązany;obliged;NO_TR;NO_TR
wyprzedaż;sale;NO_TR;NO_TR
mroczne;dark;NO_TR;NO_TR
nastąpiło;happened;NO_TR;NO_TR
zabójcze;deadly;NO_TR;NO_TR
podpisu;signature;NO_TR;NO_TR
wyłączcie;turn off;NO_TR;NO_TR
case;cases;NO_TR;NO_TR
kapelusza;hat;NO_TR;NO_TR
wynosimy;we take out;NO_TR;NO_TR
strzałów;shots;NO_TR;NO_TR
pisała;she wrote;NO_TR;NO_TR
przegrywa;loses;NO_TR;NO_TR
powietrznych;air;NO_TR;NO_TR
zadawał;asked;NO_TR;NO_TR
gotham;gotham;NO_TR;NO_TR
jasności;brightness;NO_TR;NO_TR
myslalem;thought;NO_TR;NO_TR
doktorowi;the doctor;NO_TR;NO_TR
synek;son;NO_TR;NO_TR
dotarli;they arrived;NO_TR;NO_TR
bloom;bloom;NO_TR;NO_TR
zwariowałem;I'm crazy;NO_TR;NO_TR
caine;caine;NO_TR;NO_TR
general;general;NO_TR;NO_TR
używanie;use;NO_TR;NO_TR
naprawiać;repair;NO_TR;NO_TR
awaryjny;emergency;NO_TR;NO_TR
adopcji;adoption;NO_TR;NO_TR
rozpoczęcie;start;NO_TR;NO_TR
zabiłby;would kill;NO_TR;NO_TR
nieoficjalnie;unofficially;NO_TR;NO_TR
czynią;they do;NO_TR;NO_TR
umawialiśmy;we agreed;NO_TR;NO_TR
powstrzymam;I will stop;NO_TR;NO_TR
okup;ransom;NO_TR;NO_TR
prywatnie;privately;NO_TR;NO_TR
harbor;harbour;NO_TR;NO_TR
opiekuna;guardian;NO_TR;NO_TR
dokończymy;we will finish;NO_TR;NO_TR
ogarnąć;embrace;NO_TR;NO_TR
national;country;NO_TR;NO_TR
spaliśmy;we slept;NO_TR;NO_TR
zawierają;contain;NO_TR;NO_TR
pozostań;stay;NO_TR;NO_TR
umieramy;we die;NO_TR;NO_TR
rządowi;the government;NO_TR;NO_TR
widujesz;you see;NO_TR;NO_TR
baterii;battery;NO_TR;NO_TR
utknęła;stuck;NO_TR;NO_TR
cholerni;damn;NO_TR;NO_TR
grałam;I played;NO_TR;NO_TR
